index,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Reindeer Games,Deadfall,Swelter,Machine Gun McCain,The Night Listener,Robin Hood,The Good Thief,The Missing Person,Wristcutters: A Love Story,Falcon Rising,London
A Man Apart,Furious 7,Sorority Row,Oldboy,Stranded,Just Looking,Chain Letter,Perrier’s Bounty,Licence to Kill,Meet the Deedles,Small Time Crooks
Aloha,The Marine 4: Moving Target,Airplane!,Broken Arrow,The Legend of Bagger Vance,Contraband,Good Kill,The Incredible Hulk,August,The Astronaut Farmer,Space Cowboys
Ghosts of Mississippi,The Haunted Mansion,Slow Burn,Bloody Sunday,12 Angry Men,JFK,Selma,Law Abiding Citizen,Stonewall,Grudge Match,Thir13en Ghosts
Snow Falling on Cedars,"The Book of Mormon Movie, Volume 1: The Journey",Where the Truth Lies,Midnight in the Garden of Good and Evil,Farce of the Penguins,The Bourne Identity,Ondine,City of Life and Death,Black Rain,Ghost,Interview with the Assassin
The Rite,Alleluia! The Devil's Carnival,Howards End,Halloween 4: The Return of Michael Myers,Exorcist II: The Heretic,Religulous,My Best Friend's Wedding,My Week with Marilyn,The Blind Side,Quo Vadis,The Good Heart
Gattaca,Interstellar,Capricorn One,The Right Stuff,Space Pirate Captain Harlock,Lost in Space,Flatliners,Doom,Twins,Contact,Space Cowboys
Isn't She Great,The Last Five Years,Deconstructing Harry,Dogtown and Z-Boys,The Loss of Sexual Innocence,Stand by Me,A Mighty Wind,Nowhere Boy,The Hadza:  Last of the First,2046,The City of Your Final Destination
Space Chimps,Lost in Space,Space Pirate Captain Harlock,Space Dogs,Gravity,Gattaca,Grace of Monaco,Ender's Game,Criminal,Lifeforce,Gone Girl
Head of State,Executive Decision,Ghost Town,The Invasion,Captain America: The Winter Soldier,Resident Evil: Retribution,Practical Magic,Undercover Brother,51 Birch Street,The Ides of March,Should've Been Romeo
The Hangover,Multiplicity,Last Vegas,Welcome to the Rileys,The Town,The Internship,The Benchwarmers,I Hope They Serve Beer in Hell,Prom Night,My Fellow Americans,A Guy Thing
Austin Powers: The Spy Who Shagged Me,Austin Powers: International Man of Mystery,Austin Powers in Goldmember,Flywheel,Whip It,Slacker,Spellbound,The Men Who Stare at Goats,The Hebrew Hammer,Krrish,Spy Hard
There Be Dragons,The Judge,The Wolfman,The Open Road,Heavy Metal,Bad Words,The Maid's Room,Shattered Glass,Love Me Tender,Forsaken,Glory
Lethal Weapon 3,I Come with the Rain,The Glimmer Man,Wonderland,The Black Dahlia,Water & Power,S.W.A.T.,Narc,The Negotiator,Escape from L.A.,Sands of Iwo Jima
The Blind Side,Halloween 4: The Return of Michael Myers,Proud,Red Tails,Ghost Dog: The Way of the Samurai,The Stepfather,Guess Who,L.I.E.,The Help,Halloween: The Curse of Michael Myers,Held Up
Spy Kids,Spy Kids 2: The Island of Lost Dreams,Spy Kids 3-D: Game Over,Spy Kids: All the Time in the World,Go for It!,In Too Deep,Mr. 3000,Jimmy Neutron: Boy Genius,The Incredibles,The Velocity of Gary,Revolutionary Road
Horrible Bosses,Brick Lane,Horrible Bosses 2,Step Brothers,Blended,Masked and Anonymous,Bride Wars,Kickboxer: Vengeance,Four Christmases,Polisse,Office Space
True Grit,Hard Candy,The Lovely Bones,Shutter Island,Whiteout,The Indian in the Cupboard,Bad Grandpa,Man of the House,The Secret Life of Bees,The Talented Mr. Ripley,Seven Years in Tibet
The Devil Wears Prada,"Bright Lights, Big City",The Front Page,Frances Ha,Divergent,Going the Distance,How to Lose Friends & Alienate People,The Chumscrubber,Shattered Glass,Love & Other Drugs,Zero Effect
Star Trek: The Motion Picture,Star Trek III: The Search for Spock,Star Trek IV: The Voyage Home,Star Trek II: The Wrath of Khan,Star Trek V: The Final Frontier,Star Trek VI: The Undiscovered Country,Space Pirate Captain Harlock,Star Trek Into Darkness,Lost in Space,Gravity,Star Trek Beyond
Identity Thief,R100,Central Intelligence,Tammy,Edmond,Death Sentence,Daddy's Home,Date Night,Superman,Catwoman,Straight A's
Cape Fear,I Am Sam,Brothers,Nowhere to Run,Heartbreakers,The Secret Life of Pets,Ghost,Collateral,Transformers,TRON: Legacy,Liar Liar
21,Fever Pitch,Swimfan,The Man from Earth,Metropolis,Ride Along,The Apparition,The Story of Us,Indignation,Flubber,Loser
Trainwreck,One True Thing,Goddess of Love,What Happens in Vegas,The Family Man,A Guy Thing,The Good Guy,The Brothers,Alfie,Good Luck Chuck,Breaking Upwards
Guess Who,The Brothers,Woman Thou Art Loosed,Housebound,Halloween II,The Brass Teapot,Maurice,Proud,Red Tails,The Color Purple,The Help
The English Patient,The Railway Man,Proud,Red Tails,Letters from Iwo Jima,Tea with Mussolini,The Thin Red Line,Valiant,Schindler's List,Final Destination,Restless
L.A. Confidential,Heli,Diner,Snake Eyes,In Time,"Monsters, Inc.",Feast,Out of Time,The Glimmer Man,Super Troopers,Team America: World Police
Sky High,Mystery Men,Enter the Dangerous Mind,The Invention of Lying,Salvation Boulevard,Supporting Characters,Spy Hard,Man of Steel,"Girl, Interrupted",Character,The Borrowers
In & Out,Fiddler on the Roof,The Naked Gun 33⅓: The Final Insult,A Farewell to Arms,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Save the Last Dance,Like Crazy,The Emperor's Club,Maurice,The Jacket,The Contender
Species,Splice,Aliens vs Predator: Requiem,The Island of Dr. Moreau,Super Hybrid,Everyone Says I Love You,Doom,The Black Hole,The Terminator,The Diving Bell and the Butterfly,Gattaca
A Nightmare on Elm Street,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street Part 2: Freddy's Revenge,Freddy vs. Jason,New Nightmare,Bang Bang Baby,Freddy's Dead: The Final Nightmare,Boogeyman,A Nightmare on Elm Street 5: The Dream Child,Nancy Drew,Spirited Away
The Cell,Copycat,Eye of the Beholder,The Howling,Se7en,Child's Play 2,Switchback,Child's Play,Blood Work,2:13,My Soul to Take
The Man in the Iron Mask,The Musketeer,The Three Musketeers,Man on Wire,The Walk,Bad Company,Welcome to the Sticks,Eve's Bayou,The Adventures of Rocky & Bullwinkle,Legend,Unbroken
Secretariat,The Savages,Don McKay,Against the Ropes,"The Goods: Live Hard, Sell Hard",Any Given Sunday,Mr. Turner,Wish I Was Here,The Black Stallion,Baahubali: The Beginning,Hesher
TMNT,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles,Laws of Attraction,Beloved,The Peanuts Movie,There's Always Woodstock,Teenage Mutant Ninja Turtles: Out of the Shadows,Mutual Friends,The Fog,Please Give
Radio,The Slaughter Rule,When the Game Stands Tall,Bachelorette,Varsity Blues,21 Jump Street,The Dirties,The Best of Me,Election,Dazed and Confused,Detention
Friends with Benefits,A Walk to Remember,A Lot Like Love,An American in Hollywood,I'm Not There.,How to Lose Friends & Alienate People,When Harry Met Sally...,The Wraith,Halloween: The Curse of Michael Myers,Lake Placid,Love & Other Drugs
Neighbors 2: Sorority Rising,Black Christmas,The Battle of Shaker Heights,London to Brighton,Sorority Row,Paranormal Activity 3,Old School,The Shipping News,Legally Blonde,The Apparition,The Grace Card
Saving Mr. Banks,Tuck Everlasting,Fantasia,Recess: School's Out,Jay and Silent Bob Strike Back,The Adventures of Huck Finn,Stuck on You,Fantastic 4: Rise of the Silver Surfer,Nim's Island,Madea Goes to Jail,The Artist
Malcolm X,Scott Walker: 30 Century Man,Cotton Comes to Harlem,A Tale of Three Cities,Get on Up,The Greatest Game Ever Played,The Doors,Capote,Womb,Dragon Nest: Warriors' Dawn,The Aviator
This Is 40,The Wild Thornberrys Movie,Submarine,Stolen Summer,A Guy Named Joe,Beyond the Lights,Pay It Forward,Top Gun,Moms' Night Out,Marmaduke,Trippin'
Old Dogs,The Young Unknowns,Rain Man,The Perfect Match,Hit & Run,Good Luck Chuck,Once Upon a Time in America,In Good Company,Owning Mahowny,Real Steel,"Peace, Propaganda & the Promised Land"
Underworld: Rise of the Lycans,Underworld: Evolution,Underworld: Awakening,Dragonslayer,Amidst the Devil's Wings,The Kentucky Fried Movie,Blood and Chocolate,The King's Speech,Blade II,Alexander,The Hadza:  Last of the First
Good Luck Chuck,Cyrus,The 6th Day,The Young Unknowns,Futuro Beach,From Paris with Love,Rain Man,Hit & Run,Real Steel,The Perfect Match,Charlie St. Cloud
License to Wed,The Lion King,8: The Mormon Proposition,Beer League,What Just Happened,Cotton Comes to Harlem,Hot Rod,We're No Angels,The Chumscrubber,Thunderbirds,Diary of a Wimpy Kid
The Benchwarmers,The Bad News Bears,Home Run,The Internship,Hardball,The Perfect Game,A League of Their Own,42,The Rookie,The Hangover,He Got Game
Must Love Dogs,Silent House,Just Married,Show Me,The End of the Affair,Sarah's Key,Panic Room,Beyond Borders,Terminator 2: Judgment Day,20 Dates,The Terminator
Donnie Brasco,Code Name: The Cleaner,The Last Shot,Midnight Run,Ghost Dog: The Way of the Samurai,American Hustle,2 Guns,2 Fast 2 Furious,The X Files: I Want to Believe,The Jackal,The Departed
Resident Evil,28 Days Later,Resident Evil: Retribution,Contagion,Sabotage,Resident Evil: Afterlife,Resident Evil: Apocalypse,G-Force,Outbreak,Slither,Re-Kill
Poltergeist,Disturbing Behavior,Poltergeist III,The Runaways,My Stepmother is an Alien,Jekyll and Hyde ... Together Again,The Invasion,Anne of Green Gables,The Crocodile Hunter: Collision Course,The Wedding Planner,Hey Arnold! The Movie
The Ladykillers,Confidence,Bad Santa,The Switch,Heist,Vaalu,Thirteen Conversations About One Thing,The Rocker,Jekyll and Hyde ... Together Again,The Runaways,Flubber
Max Payne,Summer of Sam,C.H.U.D.,Frailty,Laws of Attraction,2 Guns,Alvin and the Chipmunks: The Road Chip,Mutual Friends,Safe,Basic,Please Give
In Time,Heli,I Am Wrath,Just My Luck,A Scanner Darkly,Cloud Atlas,L.A. Confidential,Logan's Run,Rounders,The Forsaken,The Ice Pirates
The Back-Up Plan,The Lazarus Effect,Hesher,Stan Helsing,Monster-in-Law,Because I Said So,The SpongeBob SquarePants Movie,Thirteen Conversations About One Thing,Made of Honor,Robots,Colombiana
Something Borrowed,The Rage: Carrie 2,Imagine Me & You,Major League,The Ring Two,Eagle Eye,The Debt,Higher Ground,Beverly Hills Chihuahua,Snow Flower and the Secret Fan,The Young Unknowns
Black Knight,Adventureland,Carousel of Revenge,Scooby-Doo,Beverly Hills Cop III,Premonition,Lawrence of Arabia,Jurassic World,How High,Employee of the Month,Welcome Home Roscoe Jenkins
The Bad News Bears,The Benchwarmers,Hardball,The Perfect Game,Home Run,The Rookie,"McFarland, USA","First Love, Last Rites",Fighting Tommy Riley,Despicable Me 2,The Misfits
Street Fighter,The Last Dragon,Kung Fu Jungle,DOA: Dead or Alive,Lone Wolf McQuade,Human Traffic,Bloodsport,Here Comes the Boom,Never Back Down,The Expendables,Charlie's Angels
The Pianist,Das Boot,Tora! Tora! Tora!,Shine,Oliver Twist,The Ghost Writer,Harrison Montgomery,Enemy at the Gates,Black Book,Schindler's List,Miracles from Heaven
The Nativity Story,The Last Temptation of Christ,The Robe,The Man with the Iron Fists,Risen,The Young Messiah,The Greatest Story Ever Told,The White Ribbon,Teenage Mutant Ninja Turtles III,Fabled,Dinosaur
House of Wax,The Relic,Night at the Museum: Battle of the Smithsonian,The Purge: Election Year,The Purge: Anarchy,Red State,Wrong Turn,Timeline,Project Almanac,Bride of Chucky,Night at the Museum
Closer,Code 46,Tango,The Quiet American,About Last Night,Death Calls,Think Like a Man Too,Endless Love,2046,Her,Before Sunrise
J. Edgar,Public Enemies,The Oogieloves in the Big Balloon Adventure,City of Ghosts,Men in Black 3,Out of Inferno,Virtuosity,D-Tox,RoboCop,The Duchess,The Image Revolution
Mirrors,Broken City,Man on a Ledge,Scary Movie 5,Money Train,District B13,The Last Exorcism Part II,Blackthorn,Force 10 from Navarone,Star Wars: Episode I - The Phantom Menace,The Incredible Hulk
Queen of the Damned,The Dead Undead,Waiting...,Snow White and the Huntsman,The Snow Queen,Daybreakers,Garfield,Don't Be Afraid of the Dark,The Lost Boys,Marie Antoinette,Elizabeth: The Golden Age
Predator 2,Undiscovered,Skyline,Friday the 13th Part 2,Keanu,Volcano,Chernobyl Diaries,Water & Power,Split Second,Out of Time,The Host
Untraceable,2:13,Switchback,The Expendables 3,Se7en,TRON: Legacy,The Heat,Prom Night,The Cell,Suspect Zero,Mindhunters
Blast from the Past,The Hurt Locker,Freaky Deaky,Speed,Escape from L.A.,Water & Power,District B13,Cavite,30 Minutes or Less,Volcano,Undiscovered
Flash Gordon,Elmer Gantry,The 5th Quarter,Underdogs,Cat on a Hot Tin Roof,Jerry Maguire,Final Fantasy: The Spirits Within,Fantastic Four,Space Battleship Yamato,Journey to Saturn,Wimbledon
Jersey Girl,Baby Mama,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Raising Victor Vargas,Living Out Loud,About Last Night,Sparkle,A Million Ways to Die in the West,About Schmidt,Inescapable,Boynton Beach Club
Alex Cross,Along Came a Spider,Kiss the Girls,MacGruber,Casino Jack,Rendition,Accidental Love,Under Siege 2: Dark Territory,Vantage Point,Alex & Emma,Lady in White
Midnight in the Garden of Good and Evil,"Mystery, Alaska",Shaun of the Dead,Snow Falling on Cedars,Anchorman: The Legend of Ron Burgundy,The Texas Chain Saw Massacre,Slumdog Millionaire,Ghosts of Mississippi,Eddie: The Sleepwalking Cannibal,Metallica: Through the Never,Margin Call
Heist,Get on the Bus,Hotel Transylvania,Cop Out,A Madea Christmas,Hits,Back to the Future Part II,The Ladykillers,Avengers: Age of Ultron,3000 Miles to Graceland,Dutch Kills
Nanny McPhee and the Big Bang,Nanny McPhee,The Boy,Mary Poppins,Glory,Operation Chromite,Mrs. Doubtfire,Creepshow 2,It's a Wonderful Afterlife,The Betrayed,Sinister 2
Hoffa,Lords of Dogtown,Last Action Hero,Renaissance Man,City of God,The Insider,Bully,Brick Lane,Megiddo: The Omega Code 2,The Rainmaker,Drowning Mona
The X Files: I Want to Believe,The X Files,Switchback,Frailty,Ballistic: Ecks vs. Sever,Suspect Zero,Mercury Rising,Now You See Me,American Hustle,Miss Congeniality 2: Armed and Fabulous,The Guard
Ella Enchanted,Cinderella,Happily N'Ever After,Confessions of a Teenage Drama Queen,A Simple Wish,Shrek 2,August Rush,Into the Woods,Heaven's Gate,American Pie,Winter's Tale
Concussion,The Express,Race,Flash of Genius,Wimbledon,We Were Soldiers,Elmer Gantry,Before Sunrise,Pride & Prejudice,Flash Gordon,Jumper
Abduction,The Secret Life of Walter Mitty,The Conspirator,In the Valley of Elah,Misconduct,Moonlight Mile,Ong Bak 2,Velvet Goldmine,Quantum of Solace,Jesus' Son,Salt
Valiant,Enemy at the Gates,The Railway Man,Restless,Proud,The Imitation Game,Red Tails,The English Patient,Windtalkers,Tea with Mussolini,The Great Raid
Wonder Boys,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Arlington Road,She Done Him Wrong,Bronson,Time to Choose,Aberdeen,American Reunion,Inescapable,Before Sunset,Halloween: The Curse of Michael Myers
Superhero Movie,Chasing Amy,American Splendor,Disaster Movie,Scary Movie 2,Kick-Ass,Jay and Silent Bob Strike Back,Not Another Teen Movie,The Dangerous Lives of Altar Boys,The Walking Deceased,Meet the Spartans
Broken City,Mirrors,Young Guns,Shooter,Beverly Hills Cop III,The 51st State,Dante's Peak,Point Blank,The Ballad of Cable Hogue,City Hall,Parker
Cursed,Book of Shadows: Blair Witch 2,Underworld,Crash,Escape from L.A.,Water & Power,The Longest Ride,Volcano,Undiscovered,An American in Hollywood,Underworld: Evolution
Premium Rush,Battle of the Year,Money Train,Let's Be Cops,The World's Fastest Indian,I Spit on Your Grave,The Thief and the Cobbler,The Ides of March,Man on a Ledge,The Second Best Exotic Marigold Hotel,Idiocracy
Hot Pursuit,Sin City,Payback,Money Train,Defendor,Starsky & Hutch,Young Guns,Jackie Brown,Ip Man 3,High Plains Drifter,Once Upon a Time in the West
The Four Feathers,Lawrence of Arabia,The Charge of the Light Brigade,Yentl,11:14,Let's Go to Prison,Ravenous,Benji,The Lovers,King's Ransom,You Don't Mess with the Zohan
Parker,Point Blank,Haywire,The Revenant,After,12 Rounds,Shooter,The Italian Job,Falcon Rising,The Ballad of Cable Hogue,102 Dalmatians
Wimbledon,He Got Game,Match Point,Home Run,Elmer Gantry,Old School,Flash Gordon,Just Wright,Speedway Junky,"New York, New York",Set It Off
Furry Vengeance,The Big Bounce,Glengarry Glen Ross,Flying By,Ip Man 3,Sunshine State,Northfork,Attack the Block,Down & Out With The Dolls,Home on the Range,The Descendants
Bait,The Reef,The Shallows,Jaws,Jaws: The Revenge,Shark Tale,Cirque du Freak: The Vampire's Assistant,Christmas Eve,The Adventures of Sharkboy and Lavagirl,Moby Dick,Morvern Callar
Krull,Nomad: The Warrior,Space Pirate Captain Harlock,Riddick,Star Trek IV: The Voyage Home,My Stepmother is an Alien,Independence Daysaster,Corpse Bride,Ghosts of Mars,Battleship,Star Trek: Nemesis
Lions for Lambs,88 Minutes,Valley of the Wolves: Iraq,[REC],Quarantine,The Emperor's Club,Brüno,Underworld: Evolution,The Kite Runner,The Ides of March,The Ten
Flight of the Intruder,We Were Soldiers,Rescue Dawn,A Few Good Men,Journey from the Fall,Men of Honor,She Wore a Yellow Ribbon,The Pursuit of D.B. Cooper,American Sniper,Born on the Fourth of July,Flyboys
Walk Hard: The Dewey Cox Story,Scream 4,Krampus,The Warrior's Way,George and the Dragon,Requiem for a Dream,Begin Again,Cats Don't Dance,The Christmas Candle,The Tooth Fairy,Ray
The Shipping News,Sherrybaby,Out of the Dark,Inkheart,Close Range,Elektra,In the Company of Men,The Piano,War of the Worlds,My Stepmother is an Alien,The Hobbit: An Unexpected Journey
American Outlaws,The Ridiculous 6,The Assassination of Jesse James by the Coward Robert Ford,Spirit: Stallion of the Cimarron,Standing Ovation,The Claim,Slow West,Diary of the Dead,Mr. Deeds,Shalako,Blazing Saddles
The Young Victoria,Guiana 1838,Piranha 3D,Anna and the King,Zambezia,Me and You and Everyone We Know,Corpse Bride,Cecil B. Demented,Time to Choose,Shine a Light,Metropolitan
Whiteout,Shutter Island,Subconscious,True Grit,Sex and the City 2,Insomnia,Four Weddings and a Funeral,Fascination,Antarctica: A Year on Ice,Chain of Command,Dark Blue
The Tree of Life,Silver Linings Playbook,Firewall,Henry & Me,Rust,Highway,Without Limits,Lords of Dogtown,Megamind,Mandela: Long Walk to Freedom,The Hadza:  Last of the First
Knock Off,U.F.O.,Double Impact,Bad Company,The Hurricane,Joe Dirt,Dylan Dog: Dead of Night,The Interpreter,Criminal,ABCD (Any Body Can Dance),Secret Window
Sabotage,The Raid,Scream,Resident Evil,Friday the 13th: A New Beginning,Step Up 3D,Final Destination 2,Serial Mom,Smoke Signals,Heli,Anaconda
The Order,Priest,Alex & Emma,Troll Hunter,Live and Let Die,Anatomy,Stormbreaker,Quo Vadis,Warlock: The Armageddon,Circle,Safe Haven
Punisher: War Zone,Saw II,Saw IV,Saw: The Final Chapter,The Punisher,Saw VI,The Jerky Boys,Blood Ties,Saw V,The Naked Gun 33⅓: The Final Insult,The Revenant
Zoom,Epic,From Hell,300,Reno 911!: Miami,The Salon,MacGruber,Firewall,Highway,Shin Godzilla,G-Force
The Walk,Man on Wire,World Trade Center,The Missing Person,The Man in the Iron Mask,Gulliver's Travels,Welcome to the Sticks,Black Christmas,Freaky Deaky,Another Happy Day,Bled
Warriors of Virtue,Kiss the Bride,Up in the Air,Whatever It Takes,Summer Catch,New York Minute,Boys and Girls,Jack Ryan: Shadow Recruit,The Adventures of Pinocchio,Patriot Games,Clear and Present Danger
A Good Year,Heartbreakers,The Secret Life of Pets,Collateral,Rushmore,Jumping the Broom,The Adventures of Sharkboy and Lavagirl,The Lost Medallion: The Adventures of Billy Stone,Liar Liar,Mad Max Beyond Thunderdome,The Inkwell
Radio Flyer,You Can Count on Me,Freddy Got Fingered,Hotel for Dogs,Raymond Did It,Darling Companion,From Dusk Till Dawn,Raising Victor Vargas,Gigli,The Greatest,The Game
Bound by Honor,Sugar Hill,Stories of Our Lives,Vamps,American Gangster,The 33,1776,Blood Done Sign My Name,Our Brand Is Crisis,Dallas Buyers Club,Vessel
Smilla's Sense of Snow,The Big Swap,Cecil B. Demented,Girl 6,Harrison Montgomery,The Divide,A Most Wanted Man,Slacker Uprising,Tropic Thunder,Inside Deep Throat,[REC]
Femme Fatale,Fatal Attraction,The Quick and the Dead,The Forest,The Words,Kites,Romeo Is Bleeding,The Secret in Their Eyes,Wild,The Horseman on the Roof,Goddess of Love
Lion of the Desert,The Believer,The Little Prince,Half Past Dead,Captain Corelli's Mandolin,One Man's Hero,House of Flying Daggers,Subconscious,The Curious Case of Benjamin Button,"Lovely, Still",Queen of the Mountains
Ride with the Devil,This Is Martin Bonner,Joyeux Noël,Open Season,Shark Tale,Gods and Generals,Ransom,Love Me Tender,Django Unchained,Cold Mountain,Appaloosa
Biutiful,City of Ember,My Dog Tulip,Seven Pounds,Next Stop Wonderland,The Open Road,Herbie Fully Loaded,A Christmas Carol,Extremely Loud & Incredibly Close,Your Highness,The Man from Snowy River
Bandidas,Cheri,Albert Nobbs,The Love Letter,Corpse Bride,The Time Machine,The Age of Innocence,Snow Flower and the Secret Fan,Les Misérables,Kate & Leopold,Pandaemonium
Black Water Transit,City of Ghosts,A Streetcar Named Desire,Highway,Firewall,Punch-Drunk Love,They Came Together,A Thousand Words,Last Action Hero,Crying with Laughter,Wal-Mart: The High Cost of Low Price
The Maze Runner,9,Rotor DR1,Six-String Samurai,Zombie Hunter,The Book of Eli,Penguins of Madagascar,Rise of the Guardians,Babylon A.D.,Mutant World,Cats & Dogs 2 : The Revenge of Kitty Galore
Unfinished Business,Punch-Drunk Love,They Came Together,My Last Day Without You,The 40 Year Old Virgin,The Big Short,Wicker Park,Boogie Nights,Wal-Mart: The High Cost of Low Price,Thank You for Smoking,The Salon
The Age of Innocence,Private Benjamin,Annie Hall,Match Point,My Fair Lady,Everyone Says I Love You,Intolerance,Shallow Hal,Higher Ground,The Love Letter,The Pirate
The Fountain,Whale Rider,Veer-Zaara,The Ten,Interview with the Vampire,Love Letters,Under the Same Moon,Schindler's List,Sliding Doors,After Earth,Cinco de Mayo: La Batalla
Chill Factor,The Good Girl,Blades of Glory,Trees Lounge,Edtv,Michael Clayton,Bang Bang Baby,The Rock,Green Zone,Creature,Good Dick
Stolen,Resident Evil: Apocalypse,Drive Angry,Commando,Family Plot,Pirates of the Caribbean: The Curse of the Black Pearl,Cradle 2 the Grave,Caravans,Benji,Without a Paddle,Feast
The Longest Ride,The Notebook,The Sleepwalker,Duplex,Timber Falls,Love Actually,Cursed,Our Family Wedding,2046,Restoration,All the Boys Love Mandy Lane
The Astronaut's Wife,Eraserhead,Impostor,What Lies Beneath,Courage Under Fire,Quinceañera,Ravenous,Knocked Up,Homefront,Non-Stop,From Paris with Love
I Dreamed of Africa,50/50,Proud,Rock Star,1982,The Ten,The Game of Their Lives,Darling Companion,A Million Ways to Die in the West,Sunshine State,Into the Wild
Playing for Keeps,The Story of Us,Shaolin Soccer,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Splash,Kicking & Screaming,When Did You Last See Your Father?,The Game of Their Lives,Gracie,Eden,Jingle All the Way
Mandela: Long Walk to Freedom,Invictus,Goodbye Bafana,Zulu,Duma,Cry Freedom,Winnie Mandela,Faith Like Potatoes,Sweet November,Savva. Heart of the Warrior,District 9
Reds,Invasion U.S.A.,Lake of Fire,School Daze,"Good Night, and Good Luck.",Letters from Iwo Jima,Deterrence,The Good German,The Campaign,"South Park: Bigger, Longer & Uncut",Transamerica
A Few Good Men,Harrison Montgomery,Flight of the Intruder,The General's Daughter,Arn: The Knight Templar,Hart's War,She Wore a Yellow Ribbon,All Good Things,Live and Let Die,8: The Mormon Proposition,A Civil Action
Exit Wounds,Ravenous,The Bounty Hunter,Live and Let Die,Super Troopers,Trade,Hot Pursuit,Prince of Persia: The Sands of Time,Tusk,The Guard,The Other Guys
Big Momma's House,Big Momma's House 2,Labor Day,"Big Mommas: Like Father, Like Son",Nowhere to Run,Who's Your Caddy?,Switchback,Child's Play,Ballistic: Ecks vs. Sever,The X Files: I Want to Believe,Hearts in Atlantis
The Darkest Hour,Star Trek: Insurrection,Impostor,The Day the Earth Stood Still,Independence Daysaster,Joy Ride,Home,Wrong Turn,U.F.O.,The Saint,The Bubble
Step Up Revolution,Case 39,Take the Lead,Hide and Seek,Flashdance,How She Move,The Man from Snowy River,Rize,Clean,The Loss of Sexual Innocence,Step Up 2: The Streets
Snakes on a Plane,L!fe Happens,The X Files: I Want to Believe,Winged Migration,Team America: World Police,Switchback,The Runaways,Déjà Vu,Suspect Zero,Now You See Me,Ballistic: Ecks vs. Sever
The Watcher,Extract,Eternal Sunshine of the Spotless Mind,Suspect Zero,Date Movie,DysFunktional Family,Sparkler,Saw,The Specialist,Bullet to the Head,Warrior
The Punisher,The Last Shot,Point Break,Punisher: War Zone,The Naked Gun 33⅓: The Final Insult,Switchback,The X Files: I Want to Believe,Donnie Brasco,RED 2,Catch Me If You Can,Frailty
Goal!: The Dream Begins,The Best Years of Our Lives,An American in Hollywood,Water & Power,Escape from L.A.,Kiss Kiss Bang Bang,I Want Your Money,Pay It Forward,Inherent Vice,The Color Purple,Volcano
Safe,Domestic Disturbance,We Own the Night,Heli,Laws of Attraction,The Young and Prodigious T.S. Spivet,Pay It Forward,The Exorcist,#Horror,Mutual Friends,End of Days
Pushing Tin,Airplane!,Modern Problems,Faster,Young Guns,Freeway,Turbulence,Insidious: Chapter 2,Half Baked,The Wild Bunch,Silver Medalist
Return of the Jedi,The Empire Strikes Back,Star Wars,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode I - The Phantom Menace,Decoys,House of Flying Daggers,Operation Chromite,Harriet the Spy,Gladiator,The Mummy: Tomb of the Dragon Emperor
Doomsday,Contagion,Resident Evil: Apocalypse,28 Days Later,Outbreak,Blindness,The Neon Demon,The Forsaken,Tears of the Sun,Quarantine,Resident Evil
The Reader,Three,The Notebook,Dogma,Minority Report,Fort McCoy,Halloween: The Curse of Michael Myers,Y Tu Mamá También,Adam Resurrected,Mama,Cellular
Wanderlust,Scream,Charly,Perfect Cowboy,Chain Reaction,Land of the Dead,Shooter,Where the Truth Lies,Legends of the Fall,Street Kings,Dead Like Me: Life After Death
Elf,The Santa Clause,Arthur Christmas,The Santa Clause 2,Christmas Mail,Bad Santa,Defendor,Air Bud,A Christmas Story,The Polar Express,Two Lovers and a Bear
Phenomenon,Anomalisa,Unbreakable,A Serious Man,To Rome with Love,Night Watch,The Santa Clause,Why I Did (Not) Eat My Father,Turbo,Light from the Darkroom,The Perfect Host
Snow Dogs,Out Cold,Ace Ventura: Pet Detective,Two Can Play That Game,Cats & Dogs,Ocean's Thirteen,Eight Below,Novocaine,Purple Violets,Horse Camp,Scarface
Scrooged,Oliver Twist,The Muppet Christmas Carol,A Charlie Brown Christmas,The Naked Gun 33⅓: The Final Insult,Black Christmas,Hot Rod,Oliver!,Christmas Eve,Arthur Christmas,Love the Coopers
Nacho Libre,Redacted,10 Days in a Madhouse,Dallas Buyers Club,The Pledge,300,Spotlight,The Company,Funny Ha Ha,Redbelt,Breaking Upwards
Bridesmaids,Snow Angels,Vertical Limit,Annie,Pocketful of Miracles,Annie Hall,Sex Tape,Trust,Annie Get Your Gun,"I Love You, Man",The Juror
This Is the End,It Follows,Disturbia,The Toxic Avenger Part II,The Green Hornet,The Texas Chain Saw Massacre,Chasing Mavericks,Eye of the Dolphin,Flywheel,Universal Soldier: The Return,Love Stinks
